propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion de Bernard Arnault,F-GVMA,395580,2022-03-05,2022-03-05 09:05:37.617000+00:00,2022-03-05 09:57:06.018000+00:00,Paris-Le Bourget Airport,Chambery-Savoie Airport,51min,51.47,3.9,453.0,FR,FR,Paris-Le Bourget Airport - Chambery-Savoie Airport,LFPB,LFLB,48.964156,2.428774,45.634239,5.880552,123.0,446.0,output\F-GVMA\2022-03-05\leg_1\F-GVMA_2022-03-05_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-02-27,2022-02-27 18:07:26.530000+00:00,2022-02-27 18:59:30.929000+00:00,Bern Belp Airport,Paris-Le Bourget Airport,52min,52.07,3.9,442.0,CH,FR,Bern Belp Airport - Paris-Le Bourget Airport,LSZB,LFPB,46.911388,7.500493,48.967072,2.432415,552.0,54.0,output\F-GVMA\2022-02-27\leg_1\F-GVMA_2022-02-27_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-02-23,2022-02-23 17:25:48.153000+00:00,2022-02-23 18:05:55.853000+00:00,Paris-Le Bourget Airport,Bern Belp Airport,40min,40.12,3.0,441.0,FR,CH,Paris-Le Bourget Airport - Bern Belp Airport,LFPB,LSZB,48.972244,2.451571,46.914963,7.496178,60.0,518.0,output\F-GVMA\2022-02-23\leg_1\F-GVMA_2022-02-23_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-02-09,2022-02-09 15:21:30.332000+00:00,2022-02-09 15:55:49.032000+00:00,Brussels Airport,Paris-Le Bourget Airport,34min,34.3,2.6,261.0,BE,FR,Brussels Airport - Paris-Le Bourget Airport,EBBR,LFPB,50.905014,4.476706,48.964668,2.438387,85.0,50.0,output\F-GVMA\2022-02-09\leg_2\F-GVMA_2022-02-09_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-02-09,2022-02-09 08:20:52.132000+00:00,2022-02-09 08:53:31.732000+00:00,Paris-Le Bourget Airport,Brussels Airport,33min,32.65,2.4,263.0,FR,BE,Paris-Le Bourget Airport - Brussels Airport,LFPB,EBBR,48.964142,2.428894,50.911064,4.497681,14.0,54.0,output\F-GVMA\2022-02-09\leg_1\F-GVMA_2022-02-09_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-01-24,2022-01-24 16:50:00.975000+00:00,2022-01-24 17:38:43.675000+00:00,Geneva Cointrin International Airport,Paris-Le Bourget Airport,49min,48.7,3.7,411.0,CH,FR,Geneva Cointrin International Airport - Paris-Le Bourget Airport,LSGG,LFPB,46.22905,6.09567,48.966751,2.431077,460.0,54.0,output\F-GVMA\2022-01-24\leg_2\F-GVMA_2022-01-24_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-01-24,2022-01-24 15:31:03.575000+00:00,2022-01-24 16:16:39.975000+00:00,Paris-Le Bourget Airport,Geneva Cointrin International Airport,46min,45.6,3.4,410.0,FR,CH,Paris-Le Bourget Airport - Geneva Cointrin International Airport,LFPB,LSGG,48.964202,2.429569,46.231586,6.099403,78.0,430.0,output\F-GVMA\2022-01-24\leg_1\F-GVMA_2022-01-24_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-01-09,2022-01-09 19:00:55.760000+00:00,2022-01-09 19:46:45.160000+00:00,London Luton Airport,Paris-Le Bourget Airport,46min,45.82,3.4,380.0,GB,FR,London Luton Airport - Paris-Le Bourget Airport,EGGW,LFPB,51.875114,-0.365829,48.964575,2.436652,158.0,42.0,output\F-GVMA\2022-01-09\leg_2\F-GVMA_2022-01-09_leg_2.csv
avion de Bernard Arnault,F-GVMA,395580,2022-01-08,2022-01-08 08:06:12.336000+00:00,2022-01-08 09:01:25.836000+00:00,Paris-Le Bourget Airport,London Luton Airport,55min,55.22,4.1,380.0,FR,GB,Paris-Le Bourget Airport - London Luton Airport,LFPB,EGGW,48.972396,2.452192,51.875719,-0.362625,135.0,159.0,output\F-GVMA\2022-01-08\leg_1\F-GVMA_2022-01-08_leg_1.csv
avion de Bernard Arnault,F-GVMA,395580,2022-01-03,2022-01-03 21:00:11.144000+00:00,2022-01-03 21:46:24.944000+00:00,London Luton Airport,Paris-Le Bourget Airport,46min,46.22,3.5,380.0,GB,FR,London Luton Airport - Paris-Le Bourget Airport,EGGW,LFPB,51.875114,-0.365601,48.964621,2.438242,273.0,50.0,output\F-GVMA\2022-01-03\leg_2\F-GVMA_2022-01-03_leg_2.csv
