propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion du groupe Pinault,F-HFHP,3994ef,2022-04-18,2022-04-18 01:47:43.339000+00:00,2022-04-18 11:02:03.939000+00:00,Los Angeles International Airport,London Luton Airport,9h14min,554.33,41.6,8755.0,US,GB,Los Angeles International Airport - London Luton Airport,KLAX,EGGW,33.939056,-118.387775,51.875579,-0.363083,130.0,159.0,output\F-HFHP\2022-04-18\leg_1\F-HFHP_2022-04-18_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-04-14,2022-04-14 09:12:17.137000+00:00,2022-04-14 19:15:40.437000+00:00,Gimpo International Airport,Los Angeles International Airport,10h03min,603.38,45.3,9616.0,KR,US,Gimpo International Airport - Los Angeles International Airport,RKSS,KLAX,37.559692,126.791986,33.951525,-118.407726,116.0,40.0,output\F-HFHP\2022-04-14\leg_1\F-HFHP_2022-04-14_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-04-11,2022-04-11 01:43:13.155000+00:00,2022-04-11 03:11:40.855000+00:00,A/C in cruise,Gimpo International Airport,1h28min,88.45,6.6,1065.0,A/C in cruise,KR,A/C in cruise - Gimpo International Airport,A/C in cruise,RKSS,40.459109,115.039153,37.569611,126.773867,10392.0,43.0,output\F-HFHP\2022-04-11\leg_1\F-HFHP_2022-04-11_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-04-10,2022-04-10 15:35:05.426000+00:00,2022-04-10 20:22:44.126000+00:00,London Luton Airport,A/C in cruise,4h48min,287.63,21.6,4180.0,GB,A/C in cruise,London Luton Airport - A/C in cruise,EGGW,A/C in cruise,51.875766,-0.361786,40.921371,53.032715,230.0,12706.0,output\F-HFHP\2022-04-10\leg_1\F-HFHP_2022-04-10_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-04-09,2022-04-09 16:12:50.700000+00:00,2022-04-09 17:06:27.600000+00:00,Paris-Le Bourget Airport,London Luton Airport,54min,53.6,4.0,380.0,FR,GB,Paris-Le Bourget Airport - London Luton Airport,LFPB,EGGW,48.97261,2.452909,51.875565,-0.363217,59.0,159.0,output\F-HFHP\2022-04-09\leg_1\F-HFHP_2022-04-09_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-04-05,2022-04-05 13:29:46.190000+00:00,2022-04-05 19:41:05.090000+00:00,King Khaled International Airport,Paris-Le Bourget Airport,6h11min,371.3,27.8,4662.0,SA,FR,King Khaled International Airport - Paris-Le Bourget Airport,OERK,LFPB,24.958098,46.713919,48.964691,2.438965,1585.0,50.0,output\F-HFHP\2022-04-05\leg_1\F-HFHP_2022-04-05_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-04-03,2022-04-03 14:27:16.626000+00:00,2022-04-03 20:08:46.527000+00:00,London Luton Airport,King Khaled International Airport,5h41min,341.48,25.6,4954.0,GB,SA,London Luton Airport - King Khaled International Airport,EGGW,OERK,51.876022,-0.360545,24.954254,46.716334,209.0,904.0,output\F-HFHP\2022-04-03\leg_2\F-HFHP_2022-04-03_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-04-03,2022-04-03 11:29:13.027000+00:00,2022-04-03 12:25:42.126000+00:00,Paris-Le Bourget Airport,London Luton Airport,56min,56.48,4.2,380.0,FR,GB,Paris-Le Bourget Airport - London Luton Airport,LFPB,EGGW,48.964109,2.428195,51.875672,-0.36232,108.0,164.0,output\F-HFHP\2022-04-03\leg_1\F-HFHP_2022-04-03_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-03-26,2022-03-26 13:34:31.400000+00:00,2022-03-26 14:52:18.800000+00:00,Venice Marco Polo Airport,Paris-Le Bourget Airport,1h18min,77.78,5.8,843.0,IT,FR,Venice Marco Polo Airport - Paris-Le Bourget Airport,LIPZ,LFPB,45.504812,12.351446,48.967255,2.432979,82.0,46.0,output\F-HFHP\2022-03-26\leg_1\F-HFHP_2022-03-26_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-03-25,2022-03-25 08:21:31.135000+00:00,2022-03-25 09:34:18.535000+00:00,Paris-Le Bourget Airport,Venice Marco Polo Airport,1h13min,72.78,5.5,843.0,FR,IT,Paris-Le Bourget Airport - Venice Marco Polo Airport,LFPB,LIPZ,48.964063,2.426822,45.503509,12.349788,45.0,32.0,output\F-HFHP\2022-03-25\leg_1\F-HFHP_2022-03-25_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-03-23,2022-03-23 16:51:00.048000+00:00,2022-03-23 17:54:24.348000+00:00,Milano Linate Airport,Paris-Le Bourget Airport,1h03min,63.4,4.8,650.0,IT,FR,Milano Linate Airport - Paris-Le Bourget Airport,LIML,LFPB,45.438243,9.27782,48.966995,2.432171,102.0,54.0,output\F-HFHP\2022-03-23\leg_1\F-HFHP_2022-03-23_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-03-22,2022-03-22 11:57:10.001000+00:00,2022-03-22 13:21:51.501000+00:00,London Luton Airport,Milano Linate Airport,1h25min,84.68,6.4,1007.0,GB,IT,London Luton Airport - Milano Linate Airport,EGGW,LIML,51.873184,-0.376801,45.442107,9.277418,199.0,103.0,output\F-HFHP\2022-03-22\leg_2\F-HFHP_2022-03-22_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-03-22,2022-03-22 09:23:56.801000+00:00,2022-03-22 10:10:54.102000+00:00,Paris-Le Bourget Airport,London Luton Airport,47min,46.95,3.5,380.0,FR,GB,Paris-Le Bourget Airport - London Luton Airport,LFPB,EGGW,48.964063,2.427039,51.87323,-0.376727,98.0,162.0,output\F-HFHP\2022-03-22\leg_1\F-HFHP_2022-03-22_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-03-16,2022-03-16 00:38:09.371000+00:00,2022-03-16 06:48:42.071000+00:00,Teterboro Airport,Paris-Le Bourget Airport,6h11min,370.53,27.8,5848.0,US,FR,Teterboro Airport - Paris-Le Bourget Airport,KTEB,LFPB,40.854172,-74.059387,48.967275,2.433038,-0.0,54.0,output\F-HFHP\2022-03-16\leg_1\F-HFHP_2022-03-16_leg_1.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-03-14,2022-03-14 19:00:01.029000+00:00,2022-03-14 19:27:37.829000+00:00,Philadelphia International Airport,Teterboro Airport,28min,27.6,2.1,148.0,US,US,Philadelphia International Airport - Teterboro Airport,KPHL,KTEB,39.867569,-75.241333,40.850647,-74.059448,6.0,2.0,output\F-HFHP\2022-03-14\leg_2\F-HFHP_2022-03-14_leg_2.csv
avion du groupe Pinault,F-HFHP,3994ef,2022-03-14,2022-03-14 07:29:53.329000+00:00,2022-03-14 15:16:15.929000+00:00,London Luton Airport,Philadelphia International Airport,7h46min,466.37,35.0,5695.0,GB,US,London Luton Airport - Philadelphia International Airport,EGGW,KPHL,51.876022,-0.360396,39.881378,-75.21497,158.0,18.0,output\F-HFHP\2022-03-14\leg_1\F-HFHP_2022-03-14_leg_1.csv
