propriétaire,registration,icao24,departure_date_only_utc,departure_date_utc,arrival_date_utc,airport_departure,airport_arrival,flight_duration_str,flight_duration_min,co2_emission_tonnes,distance_km,iso_country_dep,iso_country_arr,routes,airport_dep_icao,airport_arr_icao,latitude_dep,longitude_dep,latitude_arr,longitude_arr,altitude_dep_m,altitude_arr_m,path_csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-02-16,2022-02-16 10:02:44.562000+00:00,2022-02-16 10:55:45.462000+00:00,Paris-Le Bourget Airport,Quimper-Cornouaille Airport,53min,53.0,4.2,497.0,FR,FR,Paris-Le Bourget Airport - Quimper-Cornouaille Airport,LFPB,LFRQ,48.972107,2.451219,47.972305,-4.107101,79.0,304.0,output\F-GBOL\2022-02-16\leg_1\F-GBOL_2022-02-16_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-02-10,2022-02-10 15:45:46.515000+00:00,2022-02-10 16:32:06.116000+00:00,Geneva Cointrin International Airport,Paris-Le Bourget Airport,46min,46.32,3.6,410.0,CH,FR,Geneva Cointrin International Airport - Paris-Le Bourget Airport,LSGG,LFPB,46.247406,6.122667,48.964462,2.434458,469.0,54.0,output\F-GBOL\2022-02-10\leg_3\F-GBOL_2022-02-10_leg_3.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-02-10,2022-02-10 09:42:05.715000+00:00,2022-02-10 10:25:14.715000+00:00,Paris-Le Bourget Airport,Geneva Cointrin International Airport,43min,43.15,3.4,410.0,FR,CH,Paris-Le Bourget Airport - Geneva Cointrin International Airport,LFPB,LSGG,48.972163,2.451252,46.243423,6.116839,74.0,415.0,output\F-GBOL\2022-02-10\leg_1\F-GBOL_2022-02-10_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-01-25,2022-01-25 10:52:04.501000+00:00,2022-01-25 17:00:36.201000+00:00,Port Bouet Airport,Paris-Le Bourget Airport,6h09min,368.52,28.9,4882.0,CI,FR,Port Bouet Airport - Paris-Le Bourget Airport,DIAP,LFPB,5.25328,-3.929175,48.964528,2.436074,6.0,50.0,output\F-GBOL\2022-01-25\leg_1\F-GBOL_2022-01-25_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2022-01-24,2022-01-24 08:15:30.601000+00:00,2022-01-24 14:24:35.801000+00:00,Paris-Le Bourget Airport,Port Bouet Airport,6h09min,369.08,28.9,4881.0,FR,CI,Paris-Le Bourget Airport - Port Bouet Airport,LFPB,DIAP,48.964109,2.428557,5.265058,-3.924297,77.0,5.0,output\F-GBOL\2022-01-24\leg_1\F-GBOL_2022-01-24_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2021-12-17,2021-12-17 15:17:28.557000+00:00,2021-12-17 16:06:41.258000+00:00,Geneva Cointrin International Airport,Paris-Le Bourget Airport,49min,49.2,3.9,411.0,CH,FR,Geneva Cointrin International Airport - Paris-Le Bourget Airport,LSGG,LFPB,46.229165,6.095901,48.966522,2.430162,438.0,54.0,output\F-GBOL\2021-12-17\leg_3\F-GBOL_2021-12-17_leg_3.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2021-12-17,2021-12-17 09:45:13.758000+00:00,2021-12-17 10:31:12.857000+00:00,Paris-Le Bourget Airport,Geneva Cointrin International Airport,46min,45.98,3.6,410.0,FR,CH,Paris-Le Bourget Airport - Geneva Cointrin International Airport,LFPB,LSGG,48.964016,2.426605,46.231819,6.099747,39.0,430.0,output\F-GBOL\2021-12-17\leg_2\F-GBOL_2021-12-17_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2021-12-07,2021-12-07 15:17:48.369000+00:00,2021-12-07 16:04:39.269000+00:00,Quimper-Cornouaille Airport,Paris-Le Bourget Airport,47min,46.83,3.7,502.0,FR,FR,Quimper-Cornouaille Airport - Paris-Le Bourget Airport,LFRQ,LFPB,47.97534,-4.184453,48.967694,2.434628,564.0,54.0,output\F-GBOL\2021-12-07\leg_2\F-GBOL_2021-12-07_leg_2.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2021-12-07,2021-12-07 08:25:59.869000+00:00,2021-12-07 09:19:29.769000+00:00,Paris-Le Bourget Airport,Quimper-Cornouaille Airport,53min,53.48,4.2,497.0,FR,FR,Paris-Le Bourget Airport - Quimper-Cornouaille Airport,LFPB,LFRQ,48.972349,2.45212,47.972081,-4.09776,20.0,356.0,output\F-GBOL\2021-12-07\leg_1\F-GBOL_2021-12-07_leg_1.csv
avion #1 du groupe Bolloré,F-GBOL,3905cb,2021-12-01,2021-12-01 17:28:53.419000+00:00,2021-12-01 18:17:21.720000+00:00,Lyon-Bron Airport,Paris-Le Bourget Airport,48min,48.47,3.8,406.0,FR,FR,Lyon-Bron Airport - Paris-Le Bourget Airport,LFLY,LFPB,45.730316,4.94291,48.964645,2.438331,203.0,62.0,output\F-GBOL\2021-12-01\leg_3\F-GBOL_2021-12-01_leg_3.csv
